latitude,longitude,address,name,details,borough,type
40.90774847263607,-73.89536048315198,,Van Cortlandt Park,"Near Ballfield, Out in Open",X,
40.90694105385552,-73.89600044179065,,Van Cortlandt Park,"Near Ballfield, Under Tree",X,
40.90283441615568,-73.90406782602015,,Vinmont Veteran Park,,X,
40.90264680734225,-73.90424431541744,,Vinmont Veteran Park,,X,
40.90227219157187,-73.8539163386334,,Wakefield Playground,Out in Open,X,
40.90213245035881,-73.90498019397498,,Vinmont Veteran Park,,X,
40.90191976094087,-73.85438254810595,,Wakefield Playground,"Under Tree, In Shade, Near Ballfield",X,
40.90178955671083,-73.85475746204509,,Wakefield Playground,"In Shade, In Playground",X,
40.9009251540253,-73.89261259883682,,Van Cortlandt Park,In Shade,X,
40.900671587321234,-73.87076528204595,,Van Cortlandt Park,"Out in Open, Near Ballfield",X,
40.89995049772105,-73.87233974941468,,Van Cortlandt Park,"In Playground, In Shade",X,
40.898673498413864,-73.89515254074993,,Van Cortlandt Park,Out in Open,X,
40.89736447343669,-73.89520446018103,,Van Cortlandt Park,Out in Open,X,
40.897130216680914,-73.89485368656665,,Van Cortlandt Park,Out in Open,X,
40.89708391251144,-73.89550685899215,,Van Cortlandt Park,Out in Open,X,
40.89684671175243,-73.89516366053529,,Van Cortlandt Park,Out in Open,X,
40.89656233745274,-73.8773058993385,,Van Cortlandt Park,Near Ballfield,X,
40.89593290170336,-73.87824711127223,,Van Cortlandt Park,Near Ballfield,X,
40.89590109413849,-73.87904056613732,,Van Cortlandt Park,Out in Open,X,
40.89536806136843,-73.8931519298397,,Van Cortlandt Park,"Out in Open, Near Ballfield",X,
40.893752994494875,-73.89604046551194,,Van Cortlandt Park,Out in Open,X,
40.893400089710745,-73.88241662705477,,Van Cortlandt Park,Near Ballfield,X,
40.89198759485802,-73.88320030172872,,Van Cortlandt Park,"Near Ballfield, Out in Open",X,
40.891078902886626,-73.8930380523465,,Van Cortlandt Park,Out in Open,X,
40.89107799611975,-73.89260650074627,,Van Cortlandt Park,Out in Open,X,
40.891068922212774,-73.89282577522499,,Van Cortlandt Park,Under Tree,X,
40.890777343654484,-73.86404138631929,,Bronx River Parkway,In Playground,X,
40.89060903529817,-73.897479486287,,Van Cortlandt Park,Out in Open,X,
40.89001422371831,-73.88123879630922,,Van Cortlandt Park,"Out in Open, Under Tree",X,
40.88998270424257,-73.88122414828037,,Van Cortlandt Park,,X,
40.889890621148886,-73.88120636314618,,Van Cortlandt Park,,X,
40.88852457036656,-73.8980871234534,,Van Cortlandt Park,Out in Open,X,
40.888351212125784,-73.84075592490258,,Seton Falls Park,In Playground,X,
40.887885645185655,-73.90540036003105,,MacLaughlin Playground,Out in Open,X,
40.887815343228084,-73.90552996600913,,MacLaughlin Playground,Under Tree,X,
40.88776934391895,-73.85881293857953,,Rienzi Playground,"Under Tree, In Shade, In Playground",X,
40.887707993519626,-73.91480586729676,,Riverdale Playground,,X,
40.88758329430688,-73.85895947838016,,Rienzi Playground,"In Playground, Out in Open",X,
40.887464204688726,-73.89622748457938,,Van Cortlandt Park,Near Ballfield,X,
40.88737099253367,-73.91426051243597,,Riverdale Playground,"In Shade, Under Tree",X,
40.887128316624164,-73.91600159916392,,Spuyten Duyvil Playground,Out in Open,X,
40.88683456118932,-73.89850396485852,,Van Cortlandt Park,"Out in Open, Just Outside Playground",X,
40.886777526462254,-73.8983006952694,,Van Cortlandt Park,"Under Tree, In Playground",X,
40.886502734426706,-73.91724687202391,,Seton Park,Out in Open,X,
40.88638539447935,-73.91645520794323,,Seton Park,Out in Open,X,
40.885913443851,-73.83954454473145,,Stars & Stripes Playground,"Under Tree, In Shade",X,
40.88576469904024,-73.91697913449933,,Seton Park,"Out in Open, Under Tree",X,
40.885601306092425,-73.91653504708512,,Seton Park,Out in Open,X,
40.88552643395685,-73.83908191464867,,Stars & Stripes Playground,"In Shade, In Playground",X,
40.88543849976244,-73.91610625888434,,Seton Park,Out in Open,X,
40.88542554764801,-73.91570277266457,,Seton Park,Out in Open,X,
40.88542354097092,-73.89069948352729,,Van Cortlandt Park,"Under Tree, In Playground",X,
40.88518937660467,-73.89068330953168,,Van Cortlandt Park,"In Playground, Under Tree",X,
40.885151023810266,-73.83995132432774,,Stars & Stripes Playground,"Under Tree, In Shade",X,
40.88513894414882,-73.8910387387917,,Van Cortlandt Park,"Under Tree, In Playground",X,
40.88510009526483,-73.89050388367173,,Van Cortlandt Park,In Shade,X,
40.88431155506893,-73.86695328552571,,Bronx River Parkway,Just Outside Playground,X,
40.884197725485464,-73.86704089522867,,Bronx River Parkway,In Playground,X,
40.884034459699315,-73.88175319223402,,Van Cortlandt Park,"In Playground, Under Tree",X,
40.88402915407566,-73.84512486303117,,Edenwald Playground,In Playground,X,
40.8838201248915,-73.86722612581548,,Bronx River Parkway,In Playground,X,
40.88370152868674,-73.88165104052968,,Van Cortlandt Park,"Under Tree, In Shade",X,
40.88275898988079,-73.90934067243842,,Ewen Park,,X,
40.882438715088384,-73.91847504463269,,Henry Hudson Park,"Under Tree, In Shade",X,
40.882257201355934,-73.91822189492366,,Henry Hudson Park,"Under Tree, In Shade",X,
40.88201572448634,-73.89489022050692,,Fort Independence Playground,Under Tree,X,
40.88191278956239,-73.88501880432311,,Mosholu Parkway,"In Playground, Under Tree",X,
40.88165888413254,-73.90012484681117,,Bailey Playground,Out in Open,X,
40.88158376611418,-73.89555075072332,,Fort Independence Playground,Under Tree,X,
40.88111539722074,-73.88955071395726,,Jerome Park,Out in Open,X,
40.88107981968169,-73.92125923993784,,Henry Hudson Park,Near Ballfield,X,
40.8810071170819,-73.92021295721322,,Henry Hudson Park,"Out in Open, In Shade",X,
40.88100415513651,-73.92153393193263,,Henry Hudson Park,Near Ballfield,X,
40.880784905159345,-73.9009038405064,,Bailey Playground,"Under Tree, In Shade",X,
40.88064398851125,-73.91973900523283,,Henry Hudson Park,"Out in Open, In Shade",X,
40.8804257944149,-73.9009835805382,,Cooney Grauer Field,,X,
40.878800341001444,-73.88540387517719,,Risse Street Park,Out in Open,X,
