,geometry,name,details,borough
2635,POINT (-73.95184854949669 40.69521200533061),Marcy Playground,"In Playground, Near Ballfield",B
2636,POINT (-73.93141753425773 40.64773853156529),Tilden Playground,Out in Open,B
2637,POINT (-73.85353302208321 40.68643663325074),London Planetree Playground,Out in Open,Q
2638,POINT (-73.96392369163094 40.77728948972205),Central Park,Just Outside Playground,M
2639,POINT (-73.95217745712186 40.82034653883425),Jacob H. Schiff Playground,"Under Tree, In Playground, Near Ballfield",M
2640,POINT (-73.99096809282025 40.72253630402943),Sara D. Roosevelt Park,"Under Tree, Near Ballfield, Just Outside Playground",M
2641,POINT (-73.92293086972823 40.6805802473888),Brevoort Playground,In Playground,B
2642,POINT (-73.94950650646992 40.702557704770214),De Hostos Playground,Just Outside Playground,B
2643,POINT (-73.93761494843797 40.62024337954944),Sarsfield Playground,"Out in Open, In Playground",B
2644,POINT (-73.92249031653624 40.741043785328344),L/CPL Thomas P. Noonan Jr. Playground,"Under Tree, Just Outside Playground",Q
2645,POINT (-73.99017409646348 40.583089778626004),Coney Island Boat Basin,"Out in Open, Near Ballfield",B
2646,POINT (-73.92769779896418 40.78724582307755),Wards Island Park,Near Ballfield,M
2647,POINT (-73.93980887290986 40.82788708016505),Jackie Robinson Park,"In Playground, Under Tree",M
2648,POINT (-73.94070857542522 40.66260362274128),Hamilton Metz Field,In Playground,B
2649,POINT (-73.97373106922485 40.664507495530906),Prospect Park,Out in Open,B
2650,POINT (-73.93307167212244 40.75770494255046),Dutch Kills Playground,In Playground,Q
2651,POINT (-73.81534082919515 40.58328052034629),Rockaway Beach Boardwalk,Out in Open,Q
2652,POINT (-73.84828014187919 40.726295161668645),Yellowstone Park,"In Playground, Under Tree",Q
2653,POINT (-73.96626192514252 40.7884223469948),Central Park,In Playground,M
2654,POINT (-73.76999328626611 40.685762168870625),Roy Wilkins Recreation Center,In Playground,Q
2655,POINT (-73.89252646911197 40.8771176307026),Harris Park,"Near Ballfield, Out in Open",X
2656,POINT (-73.77552123867663 40.730326237462215),Cunningham Park,"Near Ballfield, Out in Open",Q
2657,POINT (-73.85957052828608 40.72072489296795),The Painter's Playground,"Under Tree, In Playground",Q
2658,POINT (-73.9467194315657 40.84983826465033),Fort Washington Park,Out in Open,M
2659,POINT (-73.84813242072177 40.67132001457546),Tudor Park,Near Ballfield,Q
2660,POINT (-73.97748725945222 40.71127818255333),John V. Lindsay East River Park,"Under Tree, Near Ballfield",M
2661,POINT (-73.88447299600256 40.67687559274815),Sperandeo Brothers Playground,"Near Ballfield, Out in Open",B
2662,POINT (-73.97892180858106 40.576060669346035),Luna Park,In Playground,B
2663,POINT (-73.93552933115146 40.67397216267848),St. John's Recreation Center,"In Playground, Under Tree",B
2664,POINT (-73.8617093569884 40.74853188246131),Park Of The Americas,Near Ballfield,Q
2665,POINT (-73.86111653228595 40.76451379440506),Grand Central Parkway Extension,Under Tree,Q
2666,POINT (-73.92455187489698 40.82437137572629),Franz Sigel Park,"Out in Open, In Shade",X
2667,POINT (-73.95785764839714 40.691618216355835),Star Spangled Playground,In Playground,B
2668,POINT (-73.794671916583 40.86479176253757),Pelham Bay Park,Under Tree,X
2669,POINT (-73.99021625373688 40.58793663938129),Calvert Vaux Park,"Under Tree, In Shade, In Playground",B
2670,POINT (-73.84225231759066 40.74357416605431),Flushing Meadows Corona Park,Under Tree,Q
2671,POINT (-73.94590201863917 40.59287676390268),Bill Brown Playground,Out in Open,B
2672,POINT (-74.01833262341307 40.706856613447606),Battery Park City,Under Tree,M
2673,POINT (-73.90493858314562 40.7270217376667),Frank Principe Park,Near Ballfield,Q
2674,POINT (-73.9277884655254 40.665853598959565),Lincoln Terrace / Arthur S. Somers Park,Under Tree,B
2675,POINT (-73.83312688236094 40.57860409103867),Rockaway Beach,Out in Open,Q
2676,POINT (-73.9260215699676 40.68769825632764),P.O. Reinaldo Salgado Playground,Near Ballfield,B
2677,POINT (-73.94922942132287 40.768853089727706),John Jay Park,Out in Open,M
2678,POINT (-73.95878435711423 40.76551789434032),St. Catherine's Park,Under Tree,M
2679,POINT (-73.9733788975093 40.719499660176375),John V. Lindsay East River Park,Near Ballfield,M
2680,POINT (-73.95594351581452 40.80977014392925),Morningside Park,"Near Ballfield, In Playground",M
2681,POINT (-73.82500507365091 40.84630797412679),Pelham Bay Park,Near Ballfield,X
2682,POINT (-73.85895947838016 40.88758329430688),Rienzi Playground,"In Playground, Out in Open",X
2683,POINT (-73.77540773384133 40.72686354801634),Cunningham Park,In Playground,Q
2684,POINT (-74.11086918067002 40.61792137088543),Clove Lakes Park,Out in Open,R
2685,POINT (-73.96671644096031 40.78495698888781),Central Park,"Under Tree, Out in Open",M
2686,POINT (-73.9721075854562 40.66507494183144),Prospect Park,"Under Tree, In Shade",B
2687,POINT (-73.94457312014293 40.65769152852373),Wingate Park,,B
2688,POINT (-73.90152325883257 40.71814328887213),Reiff Playground,"In Shade, Near Ballfield",Q
2689,POINT (-73.89260650074627 40.89107799611975),Van Cortlandt Park,Out in Open,X
2690,POINT (-74.07651675902791 40.637418191033525),Tompkinsville Park,Under Tree,R
2691,POINT (-73.93891616422462 40.627793320039935),Amersfort Park,Out in Open,B
2692,POINT (-73.97385382806321 40.78213504282937),Theodore Roosevelt Park,Under Tree,M
