,geometry,name,details,borough
0,POINT (-73.98659181365889 40.60753207315604),Seth Low Playground/ Bealin Square,Out in Open,B
1,POINT (-73.96862765692859 40.7480871896291),Robert Moses Playground,In Playground,M
2,POINT (-74.0003631604654 40.750036026114756),Chelsea Park,"Under Tree, Near Ballfield, Just Outside Playground",M
3,POINT (-73.97290101781864 40.72386196549101),John V. Lindsay East River Park,"Just Outside Playground, Near Ballfield",M
4,POINT (-73.94639259466328 40.69933443616386),Charlie's Place,"In Shade, In Playground",B
5,POINT (-73.92412001948213 40.703148631662614),Maria Hernandez Park,Out in Open,B
6,POINT (-73.83541216458211 40.70989104598132),Forest Park,Just Outside Playground,Q
7,POINT (-73.82189029787115 40.749009160447415),Kissena Corridor Park,Out in Open,Q
8,POINT (-73.85043591195084 40.74628271582561),Flushing Meadows Corona Park,Under Tree,Q
9,POINT (-73.75035291482422 40.594116304422464),Beach 17 Playground,Out in Open,Q
10,POINT (-74.19801006044196 40.5320604857313),Richmond Parkway,Just Outside Playground,R
11,POINT (-74.01152114448477 40.630582530228764),Leif Ericson Park,In Playground,B
12,POINT (-73.92149830053333 40.87145657354482),Inwood Hill Park,Near Ballfield,M
13,POINT (-73.97478960620937 40.7174350715035),John V. Lindsay East River Park,"Under Tree, Near Ballfield",M
14,POINT (-73.98647089425904 40.660201255822955),Butterfly Gardens,In Shade,B
15,POINT (-73.89967168190799 40.66257799498549),Lion's Pride Playground,In Playground,B
16,POINT (-73.95910814569388 40.73561179541555),Greenpoint Playground,"In Playground, Under Tree",B
17,POINT (-73.97152639520957 40.6660594118767),Prospect Park,Out in Open,B
18,POINT (-73.7941909938004 40.8624767457428),Pelham Bay Park,Out in Open,X
19,POINT (-73.95984131674064 40.710527932663624),La Guardia Playground,"In Playground, Under Tree",B
20,POINT (-73.95895649291961 40.57526977895059),Coney Island Beach & Boardwalk,Out in Open,B
21,POINT (-73.9803807041983 40.711203244737106),Corlears Hook Park,"Under Tree, Near Ballfield, Just Outside Playground",M
22,POINT (-73.76275009986881 40.59254717374473),Beach 30th Street Playground,In Shade,Q
23,POINT (-73.87824711127223 40.89593290170336),Van Cortlandt Park,Near Ballfield,X
24,POINT (-73.91959306528246 40.780270317271665),Astoria Park,"Out in Open, Under Tree, In Shade",Q
25,POINT (-74.06301212593604 40.59243802980647),Franklin D. Roosevelt Boardwalk and Beach,Just Outside Playground,R
26,POINT (-74.01715711986482 40.62755186432433),McKinley Park,Out in Open,B
27,POINT (-73.8237465260574 40.78279288380388),Harvey Park,In Playground,Q
28,POINT (-73.86301305962124 40.6756201057255),Belmont Playground,In Playground,B
29,POINT (-73.8875575916527 40.67064430231672),Sutter Ballfields,"Out in Open, Near Ballfield",B
30,POINT (-73.97533594931137 40.69064605174565),Fort Greene Park,Out in Open,B
31,POINT (-73.92349973602167 40.833089271617006),Mullaly Park,Near Ballfield,X
32,POINT (-73.92548853149675 40.666721231198075),Lincoln Terrace / Arthur S. Somers Park,Under Tree,B
33,POINT (-74.00463996804507 40.65596669099067),D'Emic Playground,In Playground,B
34,POINT (-73.84708768493677 40.74762631636178),Flushing Meadows Corona Park,Under Tree,Q
35,POINT (-73.78251681225879 40.67789881975598),Baisley Pond Park,"Out in Open, Under Tree",Q
36,POINT (-73.78533068480898 40.70388754443373),Detective Keith L Williams Park,Out in Open,Q
37,POINT (-74.09837441506136 40.57485204625707),Midland Playground,In Playground,R
38,POINT (-74.0309828990796 40.63981947775261),Owl's Head Park,Just Outside Playground,B
39,POINT (-74.00193075025685 40.75215623616355),The High Line,Out in Open,M
40,POINT (-73.91747550497843 40.640750612406656),Curtis Playground,"Under Tree, In Shade, In Playground",B
41,POINT (-73.85288308299175 40.83895912327039),Castle Hill Playground,"In Playground, In Shade, Under Tree",X
42,POINT (-74.16265120163189 40.53706901327814),Lieutenant John H. Martinson Playground,In Playground,R
43,POINT (-73.93161769542503 40.87045180652843),Inwood Hill Park,Near Ballfield,M
44,POINT (-73.77154862306001 40.77098172368239),Crocheron Park,In Playground,Q
45,POINT (-73.90406782602015 40.90283441615568),Vinmont Veteran Park,,X
46,POINT (-73.77180194148158 40.73529572895759),Cunningham Park,"Near Ballfield, Out in Open",Q
47,POINT (-73.95497355338944 40.72177137196247),McCarren Park,Near Ballfield,B
48,POINT (-73.93599229195567 40.82899114017403),Holcombe Rucker Park,"Near Ballfield, Just Outside Playground",M
49,POINT (-73.93803593999998 40.63781760809363),Paerdegat Park,"Out in Open, Near Ballfield",B
50,POINT (-74.11070229141347 40.56168689770271),Dugan Playground,Near Ballfield,R
51,POINT (-73.94567451098447 40.59200095278448),Bill Brown Playground,Near Ballfield,B
52,POINT (-73.94180667072594 40.821451442992434),Renaissance Playground,"In Shade, In Playground",M
53,POINT (-73.7839064048872 40.76053889250834),Francis Lewis Playground,In Playground,Q
54,POINT (-73.93899043242507 40.81370224138313),Howard Bennett Playground,"In Playground, Near Ballfield, Under Tree",M
55,POINT (-73.89261259883682 40.9009251540253),Van Cortlandt Park,In Shade,X
56,POINT (-74.03496512264346 40.64019994141609),Owl's Head Park,Out in Open,B
57,POINT (-73.87217561885215 40.817607924568215),Soundview Park,Near Ballfield,X
58,POINT (-73.95864159324488 40.7594905662151),Twenty-Four Sycamores Park,Out in Open,M
59,POINT (-73.77493947577639 40.67444019411596),Rochdale Park,Near Ballfield,Q
60,POINT (-73.94294054576132 40.576762350719676),Manhattan Beach Park,Out in Open,B
61,POINT (-73.95740049230612 40.79302091624471),Central Park,"Near Ballfield, Out in Open",M
62,POINT (-73.81699036586781 40.775223389180425),Flushing Fields,"Out in Open, Near Ballfield",Q
63,POINT (-73.75588163676494 40.686115194728565),Locust Manor Playground,Under Tree,Q
64,POINT (-73.87347356972406 40.71018877411146),Middle Village Playground,In Playground,Q
65,POINT (-73.85495079349782 40.756466869675336),Hinton Park,Near Ballfield,Q
66,POINT (-73.85541472484225 40.74364991549613),William F Moore Park,Out in Open,Q
67,POINT (-73.8539163386334 40.90227219157187),Wakefield Playground,Out in Open,X
68,POINT (-73.96342908242245 40.660662698291695),Prospect Park,In Playground,B
69,POINT (-73.79034284743894 40.86971121697975),Pelham Bay Park,Under Tree,X
70,POINT (-73.88123879630922 40.89001422371831),Van Cortlandt Park,"Out in Open, Under Tree",X
71,POINT (-73.9577008144543 40.597019272962356),Mellett Playground,Out in Open,B
72,POINT (-73.95592224556765 40.81533402236661),Sheltering Arms Playground,In Playground,M
73,POINT (-73.89471522834255 40.8443337338669),Tremont Park,"In Playground, Under Tree",X
74,POINT (-73.88287559764319 40.719661321328715),Juniper Valley Park,Near Ballfield,Q
75,POINT (-73.74202930676597 40.66279275709811),Brookville Park,Out in Open,Q
76,POINT (-73.99409378515034 40.711273537084736),Coleman Playground,Near Ballfield,M
77,POINT (-73.99492272431905 40.680954367256135),Carroll Park,In Playground,B
78,POINT (-73.81339927669553 40.82337666521684),Bicentennial Veterans Memorial Park,"Near Ballfield, Out in Open",X
79,POINT (-73.98134396621283 40.68686719475676),Sixteen Sycamores Playground,"In Playground, Out in Open",B
80,POINT (-73.90755652017631 40.83190697157351),Morgan Playground,"In Shade, Under Tree",X
81,POINT (-74.09293105052043 40.6258156869087),Silver Lake Park,Under Tree,R
82,POINT (-73.88656429166319 40.6557552253083),Ethan Allen Playground,Under Tree,B
83,POINT (-73.96541673845005 40.65159403294468),Parade Ground,"In Playground, Out in Open",B
84,POINT (-73.96642667225402 40.65189496271986),Parade Ground,"Out in Open, Near Ballfield",B
85,POINT (-74.08417350961426 40.574144166349086),Franklin D. Roosevelt Boardwalk and Beach,In Playground,R
86,POINT (-73.88164445481642 40.84377971338112),Vidalia Park,Out in Open,X
87,POINT (-74.03082385409537 40.63938498874216),Owl's Head Park,In Playground,B
88,POINT (-73.8621255159567 40.834144704171955),Virginia Playground,,X
89,POINT (-73.91030994309541 40.810344772950664),St. Mary's Park,"Out in Open, In Playground",X
90,POINT (-73.83875370361937 40.744821073391776),Flushing Meadows Corona Park,Out in Open,Q
91,POINT (-73.99004689480086 40.694145048005225),Korean War Veterans Plaza,Out in Open,B
92,POINT (-73.93755297157146 40.60686686955961),Marine Park,Near Ballfield,B
93,POINT (-73.92176540804532 40.74726043475831),Torsney Playground,"Under Tree, Just Outside Playground",Q
94,POINT (-73.99765615667471 40.73031601946951),Washington Square Park,Under Tree,M
95,POINT (-73.97548830367985 40.77616189874956),Central Park,"Under Tree, Out in Open, In Shade",M
96,POINT (-73.91592932001524 40.792732583740595),Randall's Island Park,"Out in Open, Near Ballfield",M
97,POINT (-73.94160240562599 40.79701195383356),James Weldon Johnson Playground,"Near Ballfield, Just Outside Playground",M
98,POINT (-73.85509169909254 40.760257849947095),Grand Central Parkway Extension,Under tree,Q
99,POINT (-74.08219502316028 40.574736377490574),Franklin D. Roosevelt Boardwalk and Beach,Near Ballfield,R
100,POINT (-73.97944009542248 40.791563817459426),Riverside Park,"Out in Open, Under Tree",M
101,POINT (-74.0171161758236 40.60619700135132),Dyker Beach Park,Near Ballfield,B
102,POINT (-73.99327813311575 40.768385164897815),De Witt Clinton Park,Near Ballfield,M
103,POINT (-73.976948164817 40.66139182547216),Prospect Park,"Out in Open, Near Ballfield",B
104,POINT (-73.89458858001399 40.837264037108845),Crotona Park,Out in Open,X
105,POINT (-73.74720960593241 40.74187866097597),Alley Pond Park,Out in Open,Q
106,POINT (-73.97379949860614 40.76911733151658),Central Park,"Under Tree, In Shade, Out in Open",M
107,POINT (-73.90618328412984 40.655666353387566),Osborn Playground,"Under Tree, Near Ballfield, In Shade",B
108,POINT (-73.85610200061454 40.70165017959882),Forest Park,Just Outside Playground,Q
109,POINT (-73.87364841752691 40.8270554067748),Bronx River Parkway,"In Playground, Near Ballfield",X
110,POINT (-73.82139912223231 40.71216436215226),Hoover - Manton Playgrounds,In Playground,Q
111,POINT (-73.91204602972445 40.710535295152155),Grover Cleveland Playground,Near Ballfield,Q
112,POINT (-73.77116817986219 40.75706196853995),Marie Curie Park,In Playground,Q
113,POINT (-73.99604941360941 40.571620731387625),Nautilus Playground,"Under Tree, In Shade, In Playground",B
114,POINT (-73.79396963623299 40.76585116609915),Auburndale Playground,"Under Tree, In Playground",Q
115,POINT (-73.8215463787203 40.7463531106793),Kissena Corridor Park,"Under Tree, In Shade, In Playground",Q
116,POINT (-73.99084611065203 40.728739273506626),Cooper Triangle,Out in Open,M
117,POINT (-73.94917457108089 40.70243757356385),De Hostos Playground,"Out in Open, In Playground",B
118,POINT (-73.81730890854168 40.77427514457948),Flushing Fields,Near Ballfield,Q
119,POINT (-73.92522846327041 40.77695798776511),Astoria Park,"Near Ballfield, Under Tree, Out in Open",Q
120,POINT (-73.7781429804323 40.693089869594765),St. Albans Park,Out in Open,Q
121,POINT (-73.99152089046329 40.70972577727045),East River Waterfront Esplanade,"In Shade, Near Ballfield",M
122,POINT (-73.94004501307276 40.82756364710671),Jackie Robinson Park,"Near Ballfield, In Playground",M
123,POINT (-74.03741659351324 40.62608702961401),Fort Hamilton Athletic Field,Near Ballfield,B
124,POINT (-73.9461571402069 40.685746313775304),Hattie Carthan Playground,"Near Ballfield, In Playground",B
125,POINT (-73.92807860273928 40.77060731341977),Van Alst Playground,In Playground,Q
126,POINT (-73.80879008824664 40.79218815839475),Whitestone Playground,"Under Tree, In Shade, Near Ballfield",Q
127,POINT (-73.93140483920845 40.64793480360242),Tilden Playground,"Out in Open, In Playground",B
128,POINT (-73.84241709478401 40.75103432046998),Flushing Meadows Corona Park,Out in Open,Q
129,POINT (-73.8983006952694 40.886777526462254),Van Cortlandt Park,"Under Tree, In Playground",X
130,POINT (-73.81318972976997 40.58381271347718),Rockaway Beach Boardwalk,Out in Open,Q
131,POINT (-73.90552996600913 40.887815343228084),MacLaughlin Playground,Under Tree,X
132,POINT (-73.76960614625064 40.68602838592829),Roy Wilkins Recreation Center,In Playground,Q
133,POINT (-73.84247056811886 40.700906947047535),Forest Park,In Playground,Q
134,POINT (-73.90241776582482 40.77782906036353),Woodtree Playground,Near Ballfield,Q
135,POINT (-73.87755766652322 40.72095767645868),Juniper Valley Park,Out in Open,Q
136,POINT (-73.85978446921648 40.720436561615145),The Painter's Playground,"Under Tree, In Playground",Q
137,POINT (-73.97790068391477 40.710892417190195),John V. Lindsay East River Park,"Under Tree, Near Ballfield",M
138,POINT (-73.88460072079081 40.69062036783966),Highland Park,Out in Open,Q
139,POINT (-73.9053338343462 40.81352720103616),Fountain Of Youth Playground,"Under Tree, In Playground",X
140,POINT (-73.86095259541281 40.73342825209711),Horace Harding Playground,Near Ballfield,Q
141,POINT (-73.92571624708499 40.82308733727061),Franz Sigel Park,Out in Open,X
142,POINT (-73.96397169908562 40.777631842432946),Central Park,In Playground,M
143,POINT (-73.97619653840809 40.736109272277226),Asser Levy Playground,"Just Outside Playground, Near Ballfield",M
144,POINT (-73.95824577649833 40.692062017232324),Star Spangled Playground,Near Ballfield,B
145,POINT (-73.85881293857953 40.88776934391895),Rienzi Playground,"Under Tree, In Shade, In Playground",X
146,POINT (-73.93463272246585 40.77182740833203),Hallets Cove Playground,In Playground,Q
147,POINT (-73.91943426036589 40.63689409146381),Glenwood Playground,"Out in Open, Just Outside Playground",B
148,POINT (-73.76732679022858 40.59906642128006),Bayswater Park,Out in Open,Q
149,POINT (-73.86585178844273 40.843566312973856),Van Nest Park,Under Tree,X
150,POINT (-74.08983708200229 40.58289470214008),Dongan Playground,In Playground,R
151,POINT (-73.98635207379607 40.78382800859193),Riverside Park,"Just Outside Playground, Near Ballfield, Out in Open",M
152,POINT (-73.883781648395 40.677725458537644),Sperandeo Brothers Playground,"Under Tree, In Playground",B
153,POINT (-73.93995607212061 40.6746789689748),St. Mark's Playground,"In Playground, Out in Open",B
154,POINT (-73.92727302900934 40.665898097448),Lincoln Terrace / Arthur S. Somers Park,Under Tree,B
155,POINT (-73.78231990042197 40.67728075189273),Baisley Pond Park,In Playground,Q
156,POINT (-73.74608302326126 40.59513869376141),Beach 9 Playground,Just Outside Playground,Q
157,POINT (-73.71511304706546 40.7497143537693),Glen Oaks Oval,Near Ballfield,Q
158,POINT (-73.96500135061895 40.78043708895184),Central Park,"Under Tree, In Shade",M
159,POINT (-74.11054252145131 40.617712353874644),Clove Lakes Park,Out in Open,R
160,POINT (-74.01839056613562 40.70506569322364),Battery Park City,In Shade,M
161,POINT (-73.96180450138817 40.78875922730629),Central Park,"Under Tree, Out in Open",M
162,POINT (-73.82570717189672 40.84712420206664),Pelham Bay Park,Near Ballfield,X
163,POINT (-73.86201958063027 40.748605370294314),Park Of The Americas,Near Ballfield,Q
164,POINT (-73.9714781133276 40.574001248842855),Coney Island Beach & Boardwalk,Out in Open,B
165,POINT (-73.85330490359611 40.68580648020978),London Planetree Playground,In Playground,Q
166,POINT (-73.97449563283378 40.71897745246964),John V. Lindsay East River Park,Near Ballfield,M
167,POINT (-73.93566494864172 40.792466939279294),Thomas Jefferson Park,"Near Ballfield, Under Tree",M
168,POINT (-73.91484509600676 40.794847254317666),Randall's Island Park,"Out in Open, Near Ballfield",M
169,POINT (-73.82445540922943 40.846618680174934),Pelham Bay Park,Near Ballfield,X
170,POINT (-73.95750980216903 40.60380865286166),Kelly Park,In Playground,B
171,POINT (-73.96242699019052 40.75499171211726),Sutton Parks,Under Tree,M
172,POINT (-73.81090303186626 40.7459031701811),Kissena Park,Near Ballfield,Q
173,POINT (-73.89293578789773 40.6290065308492),Canarsie Park,"Out in Open, Near Ballfield",B
174,POINT (-73.91373062337226 40.66214588516702),Betsy Head Park,"Under Tree, In Shade",B
175,POINT (-73.94282703420701 40.678260548284065),St. Andrew's Playground,"Near Ballfield, In Playground",B
176,POINT (-73.8527634409574 40.73598175391941),Playground Sixty Two LXII,In Playground,Q
177,POINT (-74.16276532524505 40.61976673327574),Jennifer's Playground,Out in Open,R
178,POINT (-73.94921759388254 40.74756422946874),Murray Playground,"Near Ballfield, Out in Open",Q
179,POINT (-74.19724704998616 40.5613017398295),Freshkills Park,Near Ballfield,R
180,POINT (-73.9303285585562 40.827188668778426),Macombs Dam Park,Out in Open,X
181,POINT (-73.91365078039611 40.83618063687335),Grant Park,Out in Open,X
182,POINT (-73.8426050906633 40.84061235789907),Owen F. Dolen Park,Out in Open,X
183,POINT (-73.86404138631929 40.890777343654484),Bronx River Parkway,In Playground,X
184,POINT (-73.94683636751311 40.63753102802805),Nostrand Playground,"Out in Open, Near Ballfield",B
185,POINT (-73.8889576283587 40.81526264548716),Julio Carballo Fields,In Playground,X
186,POINT (-74.01596779848006 40.70260399561268),The Battery,Under Tree,M
187,POINT (-73.94760287109482 40.70614733472294),Sternberg Park,Near Ballfield,B
188,POINT (-73.99675316511679 40.57836301107772),Kaiser Park,"Out in Open, In Playground",B
189,POINT (-73.97572557550173 40.57349615260316),Coney Island Beach & Boardwalk,Out in Open,B
190,POINT (-73.85017982454814 40.66501359088188),Harold Schneiderman Playground,Out in Open,Q
191,POINT (-74.03844842816625 40.63407325595739),Shore Park and Parkway,Near Ballfield,B
192,POINT (-73.93268037495604 40.80562802505406),Harlem River Park,Near Ballfield,M
193,POINT (-73.87780644602857 40.842724546371436),Bronx Park,"Out in Open, In Playground",X
194,POINT (-74.01303252862796 40.6323429778734),Quaker Parrot Park at the Dust Bowl,Near Ballfield,B
195,POINT (-73.91236649736705 40.611619890288836),Lindower Park,"Near Ballfield, Out in Open",B
196,POINT (-73.76521862550268 40.77251172318),Cross Island Parkway,Out in Open,Q
197,POINT (-73.84542565370121 40.838936747049694),The Pearly Gates,,X
198,POINT (-73.89024000457235 40.667366746129055),Martin Luther King Jr. Playground,In Playground,B
199,POINT (-73.92417335939491 40.83331969199249),Mullaly Park,"Out in Open, Near Ballfield",X
200,POINT (-73.92549746169449 40.66709164536252),Lincoln Terrace / Arthur S. Somers Park,Out in Open,B
201,POINT (-73.84527476821374 40.74743577382117),Flushing Meadows Corona Park,Under Tree,Q
202,POINT (-73.9271327698568 40.61817913321108),Power Playground,"Under Tree, Out in Open, In Playground",B
203,POINT (-74.03015708041453 40.64052403518205),Owl's Head Park,Just Outside Playground,B
204,POINT (-73.978424764258 40.74196947859772),Vincent F. Albano Jr. Playground,In Playground,M
205,POINT (-73.9444885031784 40.774097113819096),Carl Schurz Park,In Playground,M
206,POINT (-73.9418616029679 40.8025113230147),Eugene McCabe Field,Near Ballfield,M
207,POINT (-73.87122286524018 40.859045340318566),Bronx Park,Out in Open,X
208,POINT (-73.95552037260236 40.791608776151946),Central Park,Out in Open,M
209,POINT (-73.93392522714005 40.60669822400518),Marine Park,Near Ballfield,B
210,POINT (-73.936438552294 40.82900639375079),Holcombe Rucker Park,"Under Tree, In Playground, Near Ballfield",M
211,POINT (-73.94990590594197 40.79682564629575),Central Park,"Under Tree, In Shade",M
212,POINT (-73.92289938217765 40.64394105390567),Harry Maze Playground,"Out in Open, Near Ballfield",B
213,POINT (-73.89667287303713 40.81947608195389),Rainey Park,Near Ballfield,X
214,POINT (-73.89696154358069 40.69750798970862),Evergreen Park,In Playground,Q
215,POINT (-74.08128463392868 40.59574086963549),Old Town Playground,In Playground,R
216,POINT (-74.00410576051061 40.74661845690148),Clement Clarke Moore Park,"Under Tree, In Shade, In Playground",M
217,POINT (-74.00275612463598 40.728070303089964),Playground of the Americas,"Under Tree, In Playground",M
218,POINT (-73.99645526229924 40.688318187398835),Cobble Hill Park,"In Shade, In Playground",B
219,POINT (-73.90587278877067 40.82885437255689),Estella Diggs Park,Out in Open,X
220,POINT (-73.89555075072332 40.88158376611418),Fort Independence Playground,Under Tree,X
221,POINT (-73.97264025669674 40.65468440108357),Prospect Park,"Out in Open, Just Outside Playground",B
222,POINT (-74.01626796911216 40.704375763472086),The Battery,"Under Tree, In Shade",M
223,POINT (-73.94991467190484 40.79682749793056),Central Park,"Under Tree, In Shade",M
224,POINT (-73.99740400582272 40.696232108896744),Pierrepont Playground,"Under Tree, Out in Open, In Playground",B
225,POINT (-73.97664558074686 40.65023926719485),Greenwood Playground,In Playground,B
226,POINT (-73.87913371865373 40.72971270529313),Crowley Playground,"In Shade, Under Tree",Q
227,POINT (-74.20873374868783 40.535206327574215),Bloomingdale Park,In Playground,R
228,POINT (-74.0056436205132 40.72016157188954),Tribeca Park,Under Tree,M
229,POINT (-74.00765340106048 40.67817858544205),Coffey Park,"Just Outside Playground, In Shade, Under Tree",B
230,POINT (-74.01216904203022 40.64949212242323),Pena Herrera Park,In Playground,B
231,POINT (-73.8981264715423 40.7069683947598),Benninger Playground,"Under Tree, Just Outside Playground",Q
232,POINT (-73.96461148166287 40.58238352169368),Grady Playground,"In Playground, Under Tree, In Shade",B
233,POINT (-73.9867294766024 40.77364401900477),Samuel N. Bennerson 2nd Playground,"Under Tree, Near Ballfield, In Playground",M
234,POINT (-73.92321519095658 40.64328225765196),Harry Maze Playground,"Out in Open, In Playground",B
235,POINT (-73.93635489027649 40.71579542348026),Cooper Park,Near Ballfield,B
236,POINT (-73.86269215608193 40.57558372543684),Gwirtzman Triangle,Out in Open,Q
237,POINT (-73.989170924334 40.58275002620619),Coney Island Boat Basin,"Near Ballfield, Out in Open",B
238,POINT (-73.98596757865417 40.60907927024916),Seth Low Playground/ Bealin Square,"Out in Open, Just Outside Playground",B
239,POINT (-73.98679232377607 40.783153008846746),Riverside Park,"Out in Open, Just Outside Playground",M
240,POINT (-73.98836849279384 40.779819939885506),Riverside Park South,Out in Open,M
241,POINT (-74.00207383450633 40.74167978046713),Dr. Gertrude B. Kelly Playground,"Under Tree, Near Ballfield, In Playground",M
242,POINT (-73.98615357749681 40.72182815042258),ABC Playground,"Under Tree, In Playground, Near Ballfield",M
243,POINT (-74.00242324019956 40.728720035704896),William F. Passannante Ballfield,"Near Ballfield, In Shade, Under Tree",M
244,POINT (-73.96063396740394 40.689169746695875),Classon Playground,"Under Tree, Out in Open, In Playground",B
245,POINT (-73.84284225436608 40.86797014781078),Givan Square,"Under Tree, In Shade, In Playground",X
246,POINT (-73.89012002485642 40.68744983352633),Highland Park,In Shade,Q
247,POINT (-73.84827834835478 40.7413774215049),Flushing Meadows Corona Park,"Near Ballfield, Just Outside Playground",Q
248,POINT (-73.90361858293153 40.72753093738066),Frank Principe Park,Under Tree,Q
249,POINT (-73.84054373798779 40.74843557294201),Flushing Meadows Corona Park,Out in Open,Q
250,POINT (-73.89174157523 40.70672395379085),Mafera Park,Near Ballfield,Q
251,POINT (-73.98431040351434 40.62413569050602),Gravesend Park,"Out in Open, Just Outside Playground",B
252,POINT (-73.80840666300054 40.74231161084717),Kissena Park,"Out in Open, In Playground",Q
253,POINT (-74.01732013952734 40.714483216482776),Battery Park City,Under Tree,M
254,POINT (-73.99723548023358 40.730531638686465),Washington Square Park,Out in Open,M
255,POINT (-73.93582212473594 40.69271001533729),Eleanor Roosevelt Playground,In Playground,B
256,POINT (-73.91790713178757 40.68524778613296),Saratoga Park,"Under Tree, In Playground",B
257,POINT (-73.84286532195077 40.70096389120773),Forest Park,In Playground,Q
258,POINT (-73.93378933718269 40.67505033840249),St. John's Recreation Center,Out in Open,B
259,POINT (-73.99788621883397 40.71025918521188),Alfred E. Smith Playground,Near Ballfield,M
260,POINT (-74.00603792901745 40.67243037464138),Red Hook Recreation Area,Out in Open,B
261,POINT (-73.84193500452582 40.74043145266937),Grand Central Parkway Extension,"Under Tree, Out in Open",Q
262,POINT (-73.78503319693438 40.70318723462273),Detective Keith L Williams Park,In Shade,Q
263,POINT (-74.0915896986128 40.62859818225005),Silver Lake Park,Out in Open,R
264,POINT (-73.9679238156743 40.65340702987699),Prospect Park,"Under Tree, In Shade, Out in Open",B
265,POINT (-73.98334929585143 40.57265277440958),Coney Island Beach & Boardwalk,Out in Open,B
266,POINT (-73.8849788948564 40.73068049024014),Elmhurst Park,Out in Open,Q
267,POINT (-73.93028739438122 40.86380628332326),Fort Tryon Park,Under Tree,M
268,POINT (-74.00458783283666 40.67265569646671),Red Hook Recreation Area,Out in Open,B
269,POINT (-73.95225380388891 40.81798196839418),Annunciation Playground,"Near Ballfield, Just Outside Playground",M
270,POINT (-73.96787068343025 40.66972476180353),Prospect Park,,B
271,POINT (-73.99456136523115 40.57143607922636),Coney Island Beach & Boardwalk,Out in Open,B
272,POINT (-74.01097258666516 40.602585425577026),Bath Beach Park,Under Tree,B
273,POINT (-74.06521231709507 40.59103751430641),Franklin D. Roosevelt Boardwalk and Beach,Near Ballfield,R
274,POINT (-74.0191765917712 40.653293181653964),Bush Terminal Park,Near Ballfield,B
275,POINT (-73.9770010567385 40.77181245060542),Central Park,"Under Tree, In Shade, Out in Open",M
276,POINT (-73.81413047599146 40.82326347481371),Bicentennial Veterans Memorial Park,"Under Tree, Out in Open",X
277,POINT (-74.1856786050053 40.52220468774808),E.M.T. Christopher J. Prescott Playground,In Playground,R
278,POINT (-73.88955071395726 40.88111539722074),Jerome Park,Out in Open,X
279,POINT (-73.89500318525224 40.83659810260071),Crotona Park,Out in Open,X
280,POINT (-73.91776206778891 40.795585942010305),Randall's Island Park,"Out in Open, Near Ballfield",M
281,POINT (-73.98213149639126 40.72694687963521),Tompkins Square Park,"In Playground, Near Ballfield",M
282,POINT (-73.85805850211362 40.761448944119955),Grand Central Parkway Extension,Out in open,Q
283,POINT (-73.88681473569041 40.65577893501757),Ethan Allen Playground,In Playground,B
284,POINT (-73.96609333401265 40.65280063770007),Parade Ground,"Out in Open, Near Ballfield",B
285,POINT (-73.91019192033649 40.747358743599634),Lawrence Virgilio Playground,"Under Tree, Just Outside Playground",Q
286,POINT (-73.80520669896744 40.73623136862756),Electric Playground,Out in Open,Q
287,POINT (-74.08754251070087 40.571007811391695),Franklin D. Roosevelt Boardwalk and Beach,Out in Open,R
288,POINT (-74.08997208516342 40.639260871276015),Jones Woods Park,Under Tree,R
289,POINT (-73.97273628820487 40.722371907752894),John V. Lindsay East River Park,Near Ballfield,M
290,POINT (-73.92370872268175 40.70387700188239),Maria Hernandez Park,Near Ballfield,B
291,POINT (-73.82510496905898 40.84842752173045),Pelham Bay Park,In Playground,X
292,POINT (-73.78830235140744 40.870273344908526),Pelham Bay Park,Out in Open,X
293,POINT (-73.90600050343777 40.871998228777244),Riverbend Playground,"In Playground, Under Tree",X
294,POINT (-73.83858288889434 40.746351331325),Flushing Meadows Corona Park,Under Tree,Q
295,POINT (-73.78052005246587 40.692604681103276),St. Albans Park,Near Ballfield,Q
296,POINT (-73.90405111042894 40.84532084113905),Cleopatra Playground,"Under Tree, In Playground",X
297,POINT (-73.93587725987466 40.60866654657479),Marine Park,Just Outside Playground,B
298,POINT (-73.87389306702221 40.82760138690749),Bronx River Parkway,Near Ballfield,X
299,POINT (-74.00111261958646 40.57213276830626),Coney Island Beach & Boardwalk,Out in Open,B
300,POINT (-73.88051286062016 40.720995595053274),Juniper Valley Park,Near Ballfield,Q
301,POINT (-74.19250697632565 40.591001423913646),Sylvan Grove Cemetery,Out in Open,R
302,POINT (-74.13466278402355 40.61984365004865),Westerleigh Park,Out in Open,R
303,POINT (-73.9691489279804 40.804408594806674),Riverside Park,Out in Open,M
304,POINT (-74.01471544935625 40.70395441591994),The Battery,Under Tree,M
305,POINT (-73.94047251379399 40.57753166184566),Manhattan Beach Park,In Playground,B
306,POINT (-73.99534397138845 40.578349376402066),Kaiser Park,"Out in Open, In Playground",B
307,POINT (-74.15196450426406 40.54688671148682),Great Kills Park,In Playground,R
308,POINT (-73.88155228547986 40.817842880718885),Hunts Point Riverside Park,In Shade,X
309,POINT (-73.86143222936266 40.74837284759702),Park Of The Americas,"Out in Open, Near Ballfield",Q
310,POINT (-73.92668871045217 40.825681248284084),River Avenue Parks,"In Playground, Out in Open",X
311,POINT (-73.98557825465977 40.59445497597914),Lafayette Playground,"Under Tree, In Shade, In Playground",B
